Edge TPU Compiler version 16.0.384591198
Input: alexnet_imagenet_quant.tflite
Output: alexnet_imagenet_quant_edgetpu.tflite

Operator                       Count      Status

PAD                            5          Mapped to Edge TPU
TRANSPOSE                      1          Mapped to Edge TPU
STRIDED_SLICE                  1          Mapped to Edge TPU
SOFTMAX                        1          Mapped to Edge TPU
QUANTIZE                       2          Mapped to Edge TPU
CONV_2D                        5          Mapped to Edge TPU
FULLY_CONNECTED                3          Mapped to Edge TPU
MAX_POOL_2D                    3          Mapped to Edge TPU
RESHAPE                        1          Mapped to Edge TPU
